Condition,mAP50,mAP50-95,mAP50_vs_Q30_%,mAP50-95_vs_Q30_%,mAP50_loss_recovered_%,mAP50-95_loss_recovered_%
Q30+Sharpen,0.473626,0.289475,-11.751367163845394,-18.32176948102334,-78.963578770768,-73.21621865415835
Q30+Denoise,0.539641,0.370898,0.5489151193881076,4.652534218939144,3.688447621790146,18.592143243730856
Q30+Upscale,0.532362,0.349719,-0.8073486803491798,-1.3233298251455161,-5.424997808967004,-5.288201335017105
